t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
479482,0,4225,-4100,-1167,53,-590,40,1914,461,-257,928,841,786,1577,877,1695,10
479482,1,4227,-4101,-1170,51,-591,39,1916,460,-258,928,843,787,1576,874,1697,10
479482,1,4229,-4101,-1169,49,-589,40,1914,463,-257,926,843,788,1576,876,1695,11
479482,1,4227,-4103,-1171,51,-592,41,1913,459,-257,928,843,786,1578,876,1696,10
479482,1,4227,-4102,-1170,53,-592,42,1915,461,-257,926,841,788,1579,874,1695,11
479482,0,4227,-4102,-1170,53,-592,42,1915,461,-257,926,841,788,1579,874,1695,11
479482,1,4226,-4101,-1169,51,-593,40,1913,459,-256,927,841,788,1577,877,1696,11
479482,1,4227,-4100,-1170,51,-591,42,1912,457,-259,930,843,787,1576,875,1698,10
479482,1,4226,-4099,-1170,51,-593,40,1913,460,-255,929,842,787,1577,876,1696,12
479482,1,4228,-4100,-1170,53,-594,40,1910,458,-256,929,842,786,1577,875,1696,10
479482,1,4227,-4104,-1170,51,-594,41,1913,458,-257,928,844,786,1578,875,1696,10
479482,0,4227,-4104,-1170,51,-594,41,1913,458,-257,928,844,786,1578,875,1696,10
479482,1,4226,-4102,-1169,50,-593,40,1911,460,-258,929,842,786,1576,876,1696,11
479482,1,4227,-4100,-1171,52,-592,45,1914,460,-258,930,843,784,1578,875,1699,9
479482,1,4226,-4102,-1171,52,-593,42,1912,460,-255,929,840,788,1576,878,1697,12
479482,0,4226,-4102,-1171,52,-593,42,1912,460,-255,929,840,788,1576,878,1697,12
479482,1,4226,-4102,-1171,48,-590,39,1913,458,-254,930,844,786,1576,876,1696,11
479482,1,4226,-4103,-1171,50,-591,43,1913,459,-257,929,843,787,1577,876,1697,9
479482,1,4228,-4101,-1169,53,-594,41,1911,461,-255,927,842,789,1572,875,1695,10
479482,1,4228,-4099,-1167,53,-591,42,1910,459,-255,930,841,786,1574,875,1696,10
479482,1,4226,-4102,-1170,52,-592,40,1913,460,-258,929,841,788,1576,877,1695,10
479482,0,4226,-4102,-1170,52,-592,40,1913,460,-258,929,841,788,1576,877,1695,10
479482,1,4227,-4099,-1171,52,-590,39,1912,461,-256,929,842,787,1577,876,1697,8
479482,1,4229,-4099,-1168,51,-593,38,1913,459,-255,927,843,786,1577,876,1697,8
479482,1,4226,-4102,-1170,53,-591,39,1914,461,-255,927,841,785,1577,878,1695,10
479482,1,4227,-4102,-1168,51,-591,37,1914,458,-258,929,842,787,1578,878,1697,12
479482,0,4227,-4102,-1168,51,-591,37,1914,458,-258,929,842,787,1578,878,1697,12
479482,1,4229,-4100,-1170,51,-591,39,1913,459,-256,926,840,786,1579,878,1697,10
