t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6
479838.126959,0,-0.717984,0.0150855,0.993459,-2.24299,0.519046,2.46051,0.651238
479838.131814,1,-0.717982,0.0150811,0.993459,-2.24299,0.519048,2.46051,0.651238
479838.136859,1,-0.717984,0.0150794,0.993459,-2.24299,0.519045,2.46051,0.651232
479838.141817,1,-0.717986,0.0150759,0.993457,-2.24299,0.519044,2.46051,0.651238
479838.146807,1,-0.717984,0.0150739,0.993462,-2.24299,0.519048,2.46051,0.651239
479838.151892,1,-0.717986,0.0150746,0.993459,-2.24299,0.519048,2.46051,0.651232
479838.156868,1,-0.717984,0.0150776,0.993462,-2.24299,0.519049,2.46051,0.651229
479838.161847,1,-0.717987,0.0150804,0.993455,-2.24299,0.519045,2.46051,0.651233
479838.166803,1,-0.717984,0.015074,0.993461,-2.24299,0.519045,2.46051,0.651232
479838.171865,1,-0.717984,0.0150783,0.993459,-2.24299,0.519044,2.46051,0.651232
479838.176804,1,-0.717983,0.015076,0.993461,-2.24298,0.519049,2.46051,0.651232
479838.181933,1,-0.71798,0.0150776,0.993451,-2.24299,0.519046,2.46051,0.651235
479838.186844,1,-0.717984,0.0150766,0.993457,-2.24299,0.519049,2.46051,0.651234
479838.191886,1,-0.717985,0.0150793,0.993459,-2.24299,0.519045,2.4605,0.651229
479838.196843,1,-0.717988,0.0150772,0.993459,-2.24299,0.51905,2.46051,0.651229
479838.201855,1,-0.717984,0.015082,0.993457,-2.24299,0.519048,2.46051,0.651225
479838.206827,1,-0.717985,0.015083,0.993457,-2.24299,0.519044,2.4605,0.651229
479838.211779,1,-0.717984,0.0150794,0.99346,-2.24299,0.519046,2.46051,0.651228
479838.216857,1,-0.717984,0.0150813,0.993457,-2.24299,0.519045,2.46051,0.651234
479838.221791,1,-0.717983,0.0150783,0.993457,-2.24299,0.519048,2.46051,0.651227
479838.226846,1,-0.717982,0.0150772,0.993461,-2.24299,0.519049,2.46051,0.651238
479838.231793,1,-0.717984,0.0150797,0.993459,-2.24299,0.519047,2.46051,0.651236
479838.236850,1,-0.717984,0.01508,0.993457,-2.24299,0.519049,2.46051,0.651235
479838.241750,1,-0.717986,0.0150803,0.993461,-2.24299,0.519047,2.46051,0.651233
479838.246840,1,-0.717985,0.0150776,0.993458,-2.24299,0.519045,2.46051,0.651232
479838.251817,1,-0.717986,0.0150776,0.993459,-2.24299,0.519044,2.46051,0.651229
479838.256844,1,-0.71798,0.0150795,0.993462,-2.24299,0.519046,2.46051,0.651238
