t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
479838.127263,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.132072,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.137150,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.142091,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.147082,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.152186,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.157149,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.162107,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.167112,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.172154,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.177084,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.182281,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.187090,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.192224,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.197126,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.202081,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.207038,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.212077,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.217231,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.221998,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.227094,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.232006,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.237121,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.241937,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.247063,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.252067,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.257155,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.262076,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.267035,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.272169,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.277097,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.282168,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.287050,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.292189,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.297243,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.302123,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.307141,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.312107,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.317127,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.321997,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.327085,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.331957,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.337149,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.341968,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.347114,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.352164,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.357268,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.362081,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.367033,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.372028,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.377205,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.382213,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.387215,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.392344,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.397204,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.402065,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.407191,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.412075,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.417064,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.421996,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.427211,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.432018,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.437042,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.441949,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.447011,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.452113,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.457118,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.462187,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.467008,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.472070,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.477193,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.482067,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.487062,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.492115,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.497064,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.502079,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.507240,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.512168,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.517122,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.522081,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.527024,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.532011,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.537143,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.542040,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.547333,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.552084,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.557215,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.562133,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.567105,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.572187,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.577018,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.582166,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.587115,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.592226,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.597077,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.602349,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.607301,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.612229,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.617239,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.622271,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.627244,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.632092,0,0,0,0,0,0,0,0,0,0,0,0,0
479838.637289,0,0,0,0,0,0,0,0,0,0,0,0,0
