dex_urdf_name,v2_emitted_name,kind,side
base,(dropped),link,left
fr3_base_joint,(dropped),joint,left
fr3_link0,left_fr3_link0,link,left
fr3_link0_accelerometer_top,left_fr3_link0_accelerometer_top,link,left
fr3_link0_accelerometer_top_joint,left_fr3_link0_accelerometer_top_joint,joint,left
fr3_link0_accelerometer_bottom,left_fr3_link0_accelerometer_bottom,link,left
fr3_link0_accelerometer_bottom_joint,left_fr3_link0_accelerometer_bottom_joint,joint,left
fr3_link1,left_fr3_link1,link,left
fr3_link1_accelerometer_top,left_fr3_link1_accelerometer_top,link,left
fr3_link1_accelerometer_top_joint,left_fr3_link1_accelerometer_top_joint,joint,left
fr3_link1_accelerometer_bottom,left_fr3_link1_accelerometer_bottom,link,left
fr3_link1_accelerometer_bottom_joint,left_fr3_link1_accelerometer_bottom_joint,joint,left
fr3_joint1,left_fr3_joint1,joint,left
fr3_link2,left_fr3_link2,link,left
fr3_link2_accelerometer_top,left_fr3_link2_accelerometer_top,link,left
fr3_link2_accelerometer_top_joint,left_fr3_link2_accelerometer_top_joint,joint,left
fr3_link2_accelerometer_bottom,left_fr3_link2_accelerometer_bottom,link,left
fr3_link2_accelerometer_bottom_joint,left_fr3_link2_accelerometer_bottom_joint,joint,left
fr3_joint2,left_fr3_joint2,joint,left
fr3_link3,left_fr3_link3,link,left
fr3_link3_accelerometer_top,left_fr3_link3_accelerometer_top,link,left
fr3_link3_accelerometer_top_joint,left_fr3_link3_accelerometer_top_joint,joint,left
fr3_link3_accelerometer_bottom,left_fr3_link3_accelerometer_bottom,link,left
fr3_link3_accelerometer_bottom_joint,left_fr3_link3_accelerometer_bottom_joint,joint,left
fr3_joint3,left_fr3_joint3,joint,left
fr3_link4,left_fr3_link4,link,left
fr3_link4_accelerometer_top,left_fr3_link4_accelerometer_top,link,left
fr3_link4_accelerometer_top_joint,left_fr3_link4_accelerometer_top_joint,joint,left
fr3_link4_accelerometer_bottom,left_fr3_link4_accelerometer_bottom,link,left
fr3_link4_accelerometer_bottom_joint,left_fr3_link4_accelerometer_bottom_joint,joint,left
fr3_joint4,left_fr3_joint4,joint,left
fr3_link5,left_fr3_link5,link,left
fr3_link5_accelerometer_top,left_fr3_link5_accelerometer_top,link,left
fr3_link5_accelerometer_top_joint,left_fr3_link5_accelerometer_top_joint,joint,left
fr3_link5_accelerometer_bottom,left_fr3_link5_accelerometer_bottom,link,left
fr3_link5_accelerometer_bottom_joint,left_fr3_link5_accelerometer_bottom_joint,joint,left
fr3_joint5,left_fr3_joint5,joint,left
fr3_link6,left_fr3_link6,link,left
fr3_joint6,left_fr3_joint6,joint,left
fr3_link7,left_fr3_link7,link,left
fr3_joint7,left_fr3_joint7,joint,left
fr3_link8,left_fr3_link8,link,left
fr3_joint8,left_fr3_joint8,joint,left
fr3_to_kistar_left_joint,left_kistar_hand_mount,joint,left
franka_bracket_round_link,left_kistar_hand,link,left
left_hand_base_bracket_15deg_link,left_kistar_hand_base_bracket_15deg,link,left
